brand,product,angle,hook_type,headline,primary_text,cta,format_length,tone,audience,objective,platform,emojis_used,compliance_flags,notes
Comfrt,Hoodie + Sweats,Bundle / AOV,Offer / Solution-First,The Set Just Makes Sense,"Save when you grab the matching set. Fewer decisions, better days.",Build Your Set,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
EllaOla,Kids Essential Multivitamin (Unflavored),Back-to-school / immunity support,Problem (Negative),Sick Days Already? Not This Year.,"Unflavored, easy-to-mix kids multivitamin with essentials for everyday wellness and busy school schedules. No sugar. No dyes. Parents love the simplicity.",Shop Vitamins,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,Avoid disease claims; general wellness framing only,
EllaOla,Kids Essential Multivitamin (Unflavored),Routine / hectic mornings,Solution-First,One Stir. Done.,"No battles, no flavors to fight. Stir into water or juice and move on with your morning.",Make Mornings Easier,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
EllaOla,Kids Essential Multivitamin (Unflavored),Social proof / mom approval,Social Proof,Mom-Approved. Kid-Proof.,"Thousands of parents made the switch for clean, simple nutrition. Gentle on routines—and taste buds.",Try It Today,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Woolx,Mia Tee (Merino Wool),Odor / temperature,Problem (Negative),Your Cotton Tee Can’t Do This,"Merino regulates temp, resists odor, and stays soft wash after wash. Meet the Mia Tee—your new everyday upgrade.",Shop Mia,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Woolx,Mia Tee (Merino Wool),Education,Question Hook,Why Merino? Here’s The Short List.,"Odor-resistant, temperature-regulating, breathable, and insanely soft. Once you go merino, it’s hard to go back.",Upgrade Your Tee,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Hanks Belts,Everyday Work Belt,Durability / value,Solution-First,The Last Belt You’ll Ever Buy,"Full‑grain leather. Built to work, built to last. No peeling, no cracking—ever.",Shop Work Belt,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Hanks Belts,Montana Double Bison,Premium / craft,Social Proof,Real Bison. Unreal Feel.,Handmade quality and a lifelong fit. Customers won’t shut up about it (in a good way).,Own It,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
King Kanine,KING KALM CBD Oil,Calm / routine,Question Hook,An Easier Night With Your Pup?,Pet wellness starts with a calmer routine. KING KALM is made for dogs—with quality you can trust and dosing guidance that’s simple.,See Details,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,Restricted category on Meta—use education/landing page pre‑qual; avoid health/medical claims,
King Kanine,KING KOMB Deshedding Tool,Shedding / clean home,Problem (Negative),Fur On Everything? Fix That.,"KING KOMB pulls loose undercoat fast, reduces dander, and keeps your home (and hoodie) cleaner.",Shop KING KOMB,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Enzo Attini,Watches,Luxury + value,Social Proof,Italian Design. Swiss Movement.,Luxury details without the luxury markup. Enzo Attini pairs Italian minimalism with Swiss precision for an everyday classic.,Shop The Collection,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Enzo Attini,Watches,Exclusivity,FOMO / Scarcity,Limited Drops. No Repeats.,"When a colorway is gone, it’s gone. That’s the point—make it yours now.",Claim Your Watch,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
SENE,Custom Suits,Fit / convenience,Solution-First,A Perfect Fit—Without The Tailor Trip,"SENE’s custom fit tech nails your measurements from home. Better than off‑the‑rack, without the hassle.",Get Fitted,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
SENE,Custom Suits,Identity,Question Hook,Ready For Your Best-Fitting Suit?,"Modern, minimal, made for movement. It’s your daily armor—tailored to you.",Start Now,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Tres Piñas,Women’s Collection,Confidence / fit,Solution-First,Clothes That Do You Favors,"Cuts and fabrics that flatter, move, and last. Confidence looks like this.",Shop New In,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Tres Piñas,Women’s Collection,Drop / hype,FOMO / Scarcity,We’re About To Sell Out,"The feedback’s in—and so is demand. If you’ve been eyeing it, now’s the time.",Don’t Miss It,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Dead Atlantic,Shopify Relaunch,Brand refresh,Pattern Interrupt,New Drop. New Rules.,We rebuilt the experience so it’s faster to find what you want—and easier to check out. Go see for yourself.,Shop The Drop,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Generic,Any,Urgency,FOMO / Scarcity,This Price Ends Tonight,Last call for the best price we’ll show this month. Don’t wait.,Shop Now,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Generic,Any,Authority,Social Proof,Thousands Switched. You?,Real reviews. Real results. Join them.,Get Yours,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Generic,Any,Problem,Problem (Negative),Stop Overpaying For Mediocre Gear,"Upgrade once, be done with it.",Upgrade Now,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Generic,Any,Offer,Offer / Solution-First,First-Time Buyer? We Got You.,Exclusive welcome offer inside.,Unlock Offer,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
Generic,Any,Identity,Controversial / Pattern Interrupt,"If You Know, You Know",This is for people who care about details.,Join In,short,"confident, conversational, conversion-focused",broad prospecting,Sales / Conversions,Meta,False,,
